name,prompt,negative_prompt
DEFAULT,"(masterpiece, best quality:1.3), incredibly absurd res, detailed, ultra detailed, depth of field, bokeh, 1 girl, solo, alone, standing and posing in the center, looking at viewer <lora:add_detail:1> <lora:stylesqueeze_v2:0.5> ","(worst quality:1.4), (low quality:1.4), easynegative, badhandv4, bad-hands-5, finger, toe, glasses, face cover, beard, mustache"
1GIRL,"(masterpiece, best quality:1.3), 1 girl, solo, alone, standing and posing in the center, looking at viewer <lora:add_detail:1> <lora:stylesqueeze_v2:0.5>","(worst quality:1.4), (low quality:1.4), easynegative, badhandv4, bad-hands-5, finger, toe, glasses, face cover, beard, mustache, loli, teen, child, aged down, lolita, shota, minor"
ADD MORE DETAIL,"incredibly absurd res, detailed, ultra detailed, <lora:add_detail:1> <lora:stylesqueeze_v2:0.5>"
ENHANCE,"(masterpiece, best quality:1.3), incredibly absurd res, detailed, ultra detailed, depth of field, bokeh <lora:add_detail:1> <lora:stylesqueeze_v2:0.5> ","(worst quality:1.4), (low quality:1.4), easynegative, badhandv4, bad-hands-5,"

OUTFIT MUSLIM (Woman),"MUSLIM, Modesty, hijab, abaya, thobe, kaftan, prayer garments, niqab, kufi, jilbab, shalwar kameez, headscarf, traditional attire, modest fashion, cultural dress, Islamic clothing"
OUTFIT BIKER,"BIKER, Motorcycles, leather, freedom, adventurous, road trips, brotherhood, rebellious, riding, thrill-seeking, tough, adrenaline, passion, community, helmet, gears, lifestyle, independence, camaraderie"
OUTFIT HEAVY METAL,"HEAVY METAL, Studded, leather, band t-shirts, denim, spikes, chains, black clothing, combat boots, dark aesthetic, vests, metal accessories, ripped jeans, bold graphics"
OUTFIT PUNK ROCK,"PUNK ROCK, Ripped jeans, leather jackets, band tees, safety pins, plaid, studs, combat boots, fishnet stockings, spikes, bold makeup"
OUTFIT SKATER,"SKATER, Baggy jeans, graphic tees, hoodies, sneakers, snapback hats, beanies, skateboard, cargo pants, loose-fitting clothes, streetwear, skate shoes"
OUTFIT FORMAL,"FORMAL, Suit, tie, dress shirt, dress shoes, cufflinks, blazer, trousers, formal dress, evening gown, heels, bow tie, cocktail dress, polished attire, elegant accessories"
OUTFIT NERDY,"NERDY, Glasses, suspenders, bow ties, plaid shirts, high-waisted pants, pocket protectors, graphic tees, geeky accessories, sneakers, nerdy-themed attire"
OUTFIT MILITARY,"MILITARY, Camo, fatigues, combat boots, tactical gear, uniforms, berets, insignias, helmets, vests, military jackets, patches, cargo pants"
OUTFIT FISHERMAN,"FISHERMAN, Angler, fisher, trawler, seafarer, mariner, piscator, angling enthusiast, caster, netsman, sailor, fishing enthusiast, sea rover, aquatic harvester, piscatorial artist"
OUTFIT PIRATE,"PIRATE, Bandana, tricorn hat, eye patch, billowy shirt, vest, sash, boots, belt with a buckle, pirate coat, trousers, sword, jewelry"
OUTFIT WITCH,"WITCH, Enchantress, spells, cauldron, broomstick, magic, potion, coven, sorcery, mystical, supernatural, witchcraft, spellbook, mysterious, pointy hat, folklore, bewitching, casting spells,"
OUTFIT KNIGHT,"KNIGHT, Chivalrous, armor, sword, honor, valor, medieval, gallant, shield, noble, bravery, jousting, heraldry, nobleman, code of conduct,"
OUTFIT MECHANICAL ARMOR,"ARMOR, Mechanical, robotic, futuristic, powerful, high-tech, armored, technological, exoskeletal, cybernetic, enhanced, formidable, advanced, mechanized, reinforced, automated, cutting-edge, heavy-duty, resilient, battle-ready, futuristic"
OUTFIT SEXY,"SEXY, Sensual, alluring, attractive, captivating, seductive, provocative, appealing, enticing, sultry, desirable, hot, irresistible, enchanting, glamorous, arousing, tempting, stunning, revealing, sleek, elegant,chic, stylish, daring, sophisticated, figure-hugging, eye-catching, attention-grabbing,fashionable."

THEME HALLOWEEN,"Pumpkin, Haunted, Costume, Ghost, Candy,Witch, Zombie, Skeleton, Eerie, Spooky, Bat, Mummy, Vampire, Cauldron, Werewolf, Cobweb, Graveyard, Jack-o'-lantern, Trick-or-treat, Full moon, Spooky, costumes, pumpkins, trick-or-treating, ghosts, haunted houses, candy, jack-o'-lanterns, witches, skeletons, cobwebs, eerie, frightful, supernatural, decorations, black cats, ghouls, scare, creepy, masquerade, festivities"
THEME MONSTER,"MONSTER, terrifying, colossal, ominous, grotesque, formidable, eerie, fearsome, ghastly, grotesque, nightmarish, malevolent, dreadful, beastly, sinister, horrific, formidable, monstrous, formidable, petrifying, demonic,"
THEME BIRTHDAY,"BIRTHDAY, PARTY, elebration, cake, balloons, friends, laughter, gifts, music, joy, decorations, games, surprises, happiness, memories, cheers, candles, fun, treats, festivities, wishes, happiness."
THEME CUTE,"CUTE, adorable, charming, delightful, sweet, endearing, lovable, winsome, precious, lovely, enchanting, cuddly, appealing, darling, attractive, appealing, dainty, captivating, charming, dear, lovely."
THEME CYBERPUNK,"CYBERPUNK, Dystopian, futuristic, neon, hackers, cybernetics, technology, urban, rebellion, virtual reality, gritty, augmented reality, high-tech, dark, futuristic, digital, punk, cybercrime, innovative, chaotic, atmospheric"
THEME ATOMPUNK,"ATOMPUNK, Atomic age, retro-futuristic, nuclear, sleek, streamlined, Cold War, science fiction, space exploration, energy, optimism, industrial, vintage, futuristic, advanced technology, post-World War II"
THEME DIESELPUNK,"DIESELPUNK, Diesel-powered, interwar, retro-futuristic, industrial, gritty, machinery, vintage, Art Deco, alternate history, steam engines, war machines, sleek, futuristic, mechanical, aviation, post-apocalyptic, technology, dark aesthetic,"
THEME STEAMPUNK,"STEAMPUNK , Victorian, steam-powered, industrial, brass, gears, goggles, airships, retro-futuristic, clockwork, adventure, alternate history, machinery, aesthetic, invention, ornate, vintage, sci-fi, innovation, Victorian era-inspired, Victorian, steam-powered, gears, brass, clockwork, industrial, retro-futuristic, airships, top hats, corsets, adventure, alternative history, machinery, cogs, goggles, vintage, innovation."
THEME MUSIC STUDIO,"MUSIC STUDIO, Recording, mixing, soundproofing, equipment, producer, tracks, control room, instruments, editing, mastering, acoustics, creativity, monitors, microphones, software, vocals, live room, production, sessions, sound engineering,"
THEME TRADITIONAL,"TRADITIONAL, Conventional, classic, customary, time-honored, established, standard, typical, old-fashioned, orthodox, routine, habitual, usual, customary, regular, familiar, conservative, conventional, common, tried-and-true, standard,"
THEME VILLAGE,"VILLAGE, Rural, community, quaint, countryside, charming, tight-knit, simplicity, idyllic, peaceful, farms, small-town, cottages, scenic, close community, traditions, local, serene, pastoral, neighborly",

Fooocus Enhance,,"(worst quality, low quality, normal quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D ,3D Game, 3D Game Scene, 3D Character:1.1), (bad hands, bad anatomy, bad body, bad face, bad teeth, bad arms, bad legs, deformities:1.3)"
Fooocus Sharp,"cinematic still {prompt} . emotional, harmonious, vignette, 4k epic detailed, shot on kodak, 35mm photo, sharp focus, high budget, cinemascope, moody, epic, gorgeous, film grain, grainy","anime, cartoon, graphic, (blur, blurry, bokeh), text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured"
Fooocus Masterpiece,"(masterpiece), (best quality), (ultra-detailed), {prompt}, illustration, disheveled hair, detailed eyes, perfect composition, moist skin, intricate details, earrings, by wlop","longbody, lowres, bad anatomy, bad hands, missing fingers, pubic hair,extra digit, fewer digits, cropped, worst quality, low quality"
Fooocus Photograph,"photograph {prompt}, 50mm . cinematic 4k epic detailed 4k epic detailed photograph shot on kodak detailed cinematic hbo dark moody, 35mm photo, grainy, vignette, vintage, Kodachrome, Lomography, stained, highly detailed, found footage","Brad Pitt, bokeh, depth of field, blurry, cropped, regular face, saturated, contrast, deformed iris, deformed pupils, semi-realistic, cgi, 3d, render, sketch, cartoon, drawing, anime, text, cropped, out of frame, worst quality, low quality, jpeg artifacts, ugly, duplicate, morbid, mutilated, extra fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, dehydrated, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, fused fingers, too many fingers, long neck"
Fooocus Negative,,"deformed, bad anatomy, disfigured, poorly drawn face, mutated, extra limb, ugly, poorly drawn hands, missing limb, floating limbs, disconnected limbs, disconnected head, malformed hands, long neck, mutated hands and fingers, bad hands, missing fingers, cropped, worst quality, low quality, mutation, poorly drawn, huge calf, bad hands, fused hand, missing hand, disappearing arms, disappearing thigh, disappearing calf, disappearing legs, missing fingers, fused fingers, abnormal eye proportion, Abnormal hands, abnormal legs, abnormal feet, abnormal fingers, drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, soft, deformed, ugly, anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch"
Fooocus Cinematic,"cinematic still {prompt} . emotional, harmonious, vignette, highly detailed, high budget, bokeh, cinemascope, moody, epic, gorgeous, film grain, grainy","anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured"

MRE-cinematic-dynamic,"epic cinematic shot of dynamic {prompt} in motion. main subject of high budget action movie. raw photo, motion blur. best quality, high resolution","static, still, motionless, sluggish. drawing, painting, illustration, rendered. low budget. low quality, low resolution"
MRE-spontaneous-picture,"spontaneous picture of {prompt}, taken by talented amateur. best quality, high resolution. magical moment, natural look. simple but good looking","overthinked. low quality, low resolution"
MRE-artistic-vision,"powerful artistic vision of {prompt}. breathtaking masterpiece made by great artist. best quality, high resolution","insignificant, flawed, made by bad artist. low quality, low resolution"
MRE-dark-dream,"dark and unsettling dream showing {prompt}. best quality, high resolution. created by genius but depressed mad artist. grim beauty","naive, cheerful. comfortable, casual, boring, cliche. low quality, low resolution"
MRE-gloomy-art,"astonishing gloomy art made mainly of shadows and lighting, forming {prompt}. masterful usage of lighting, shadows and chiaroscuro. made by black-hearted artist, drawing from darkness. best quality, high resolution","low quality, low resolution"
MRE-bad-dream,"picture from really bad dream about terrifying {prompt}, true horror. bone-chilling vision. mad world that shouldn't exist. best quality, high resolution","nice dream, pleasant experience. low quality, low resolution"
MRE-underground,"uncanny caliginous vision of {prompt}, created by remarkable underground artist. best quality, high resolution. raw and brutal art, careless but impressive style. inspired by darkness and chaos","photography, mainstream, civilized. low quality, low resolution"
MRE-surreal-painting,"surreal painting representing strange vision of {prompt}. harmonious madness, synergy with chance. unique artstyle, mindbending art, magical surrealism. best quality, high resolution","photography, illustration, drawing. realistic, possible. logical, sane. low quality, low resolution"
MRE-dynamic-illustration,"insanely dynamic illustration of {prompt}. best quality, high resolution. crazy artstyle, careless brushstrokes, emotional and fun","photography, realistic. static, still, slow, boring. low quality, low resolution"
MRE-undead-art,"long forgotten art created by undead artist illustrating {prompt}, tribute to the death and decay. miserable art of the damned. wretched and decaying world. best quality, high resolution","alive, playful, living. low quality, low resolution"
MRE-elemental-art,"art illustrating insane amounts of raging elemental energy turning into {prompt}, avatar of elements. magical surrealism, wizardry. best quality, high resolution","photography, realistic, real. low quality, low resolution"
MRE-space-art,"winner of inter-galactic art contest illustrating {prompt}, symbol of the interstellar singularity. best quality, high resolution. artstyle previously unseen in the whole galaxy","created by human race, low quality, low resolution"
MRE-ancient-illustration,"sublime ancient illustration of {prompt}, predating human civilization. crude and simple, but also surprisingly beautiful artwork, made by genius primeval artist. best quality, high resolution","low quality, low resolution"
MRE-brave-art,"brave, shocking, and brutally true art showing {prompt}. inspired by courage and unlimited creativity. truth found in chaos. best quality, high resolution","low quality, low resolution"
MRE-heroic-fantasy,"heroic fantasy painting of {prompt}, in the dangerous fantasy world. airbrush over oil on canvas. best quality, high resolution","low quality, low resolution"
MRE-dark-cyberpunk,"dark cyberpunk illustration of brutal {prompt} in a world without hope, ruled by ruthless criminal corporations. best quality, high resolution","low quality, low resolution"
MRE-lyrical-geometry,"geometric and lyrical abstraction painting presenting {prompt}. oil on metal. best quality, high resolution","photography, realistic, drawing, rendered. low quality, low resolution"
MRE-sumi-e-symbolic,"big long brushstrokes of deep black sumi-e turning into symbolic painting of {prompt}. master level raw art. best quality, high resolution","photography, rendered. low quality, low resolution"
MRE-sumi-e-detailed,"highly detailed black sumi-e painting of {prompt}. in-depth study of perfection, created by a master. best quality, high resolution","low quality, low resolution"
MRE-manga,"manga artwork presenting {prompt}. created by japanese manga artist. highly emotional. best quality, high resolution","low quality, low resolution"
MRE-anime,"anime artwork illustrating {prompt}. created by japanese anime studio. highly emotional. best quality, high resolution","low quality, low resolution"
MRE-comic,"breathtaking illustration from adult comic book presenting {prompt}. fabulous artwork. best quality, high resolution","deformed, ugly, low quality, low resolution"

SAI-3d-model,"professional 3d model {prompt} . octane render, highly detailed, volumetric, dramatic lighting","ugly, deformed, noisy, low poly, blurry, painting"
SAI-analog film,"analog film photo {prompt} . faded film, desaturated, 35mm photo, grainy, vignette, vintage, Kodachrome, Lomography, stained, highly detailed, found footage","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured"
SAI-anime,"anime artwork {prompt} . anime style, key visual, vibrant, studio anime, highly detailed","photo, deformed, black and white, realism, disfigured, low contrast"
SAI-cinematic,"cinematic film still {prompt} . shallow depth of field, vignette, highly detailed, high budget, bokeh, cinemascope, moody, epic, gorgeous, film grain, grainy","anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured"
SAI-comic book,"comic {prompt} . graphic illustration, comic art, graphic novel art, vibrant, highly detailed","photograph, deformed, glitch, noisy, realistic, stock photo"
SAI-craft clay,"play-doh style {prompt} . sculpture, clay art, centered composition, Claymation","sloppy, messy, grainy, highly detailed, ultra textured, photo"
SAI-digital art,"concept art {prompt} . digital artwork, illustrative, painterly, matte painting, highly detailed","photo, photorealistic, realism, ugly"
SAI-enhance,"breathtaking {prompt} . award-winning, professional, highly detailed","ugly, deformed, noisy, blurry, distorted, grainy"
SAI-fantasy art,"ethereal fantasy concept art of  {prompt} . magnificent, celestial, ethereal, painterly, epic, majestic, magical, fantasy art, cover art, dreamy","photographic, realistic, realism, 35mm film, dslr, cropped, frame, text, deformed, glitch, noise, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, sloppy, duplicate, mutated, black and white"
SAI-isometric,"isometric style {prompt} . vibrant, beautiful, crisp, detailed, ultra detailed, intricate","deformed, mutated, ugly, disfigured, blur, blurry, noise, noisy, realistic, photographic"
SAI-line art,"line art drawing {prompt} . professional, sleek, modern, minimalist, graphic, line art, vector graphics","anime, photorealistic, 35mm film, deformed, glitch, blurry, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, mutated, realism, realistic, impressionism, expressionism, oil, acrylic"
SAI-lowpoly,"low-poly style {prompt} . low-poly game art, polygon mesh, jagged, blocky, wireframe edges, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo"
